Table                                                  
By continen                                            
Country/RegTotal PopulMuslim PopuMuslim percPercentage Sources    
Réunion Reu865826     36364      4.2        < 0.1      [247]      
Romania Rom19524000   73,000 - 200.3-1.0    < 0.1      [248]      
Russia Russ146877088  15,000,000 10 - 17    1          [249][250] 
                                                       
[251]                                                  
Rwanda Rwan12001136   576054     4.8        < 0.1      [252]      
Saint Helen4534       < 1,000    < 0.1      < 0.1      
Saint Kitts46204      < 1,000    0.3        < 0.1      
Saint Lucia178844     < 1,000    0.1        < 0.1      
Saint Pierr6286       < 1,000    0.2        < 0.1      
Saint Vince109557     2000       1.7        < 0.1      
Samoa Samoa199052     < 1,000    < 0.1      < 0.1      
San Marino 33344      < 1,000    < 0.1      < 0.1      
São Tomé an199910     5931       3          < 0.1      [253]      
Saudi Arabi33413660   31878000   97.1       1.6        
Senegal Sen15726037   15112721   96.1       0.8        [254]      
Serbia Serb7001444    221460     3.1        < 0.1      [255]      
Seychelles 94205      1036       1.1        < 0.1      [256]      
Sierra Leon7719729    6067706    78.6       0.3        [257]      
Singapore S5612253    721,000 - 814.7       < 0.1      [258][259] 
Slovakia Sl5443120    10866      0.1-0.2    < 0.1      [62]       
Slovenia Sl2066880    73568      3.6        < 0.1      [62]       
Solomon Isl667044     < 1,000    < 0.1      < 0.1      
Somalia Som11000000   10978000   99.8       0.6        [260]      
South Afric57725600   1050000    1.9        < 0.1      [261][262] 
South Korea51635256   35000      0.1        < 0.1      
South Sudan12323419   2464683    20         < 0.1      [263]      
Spain Spain46659302   1180000    2.6        0.1        [62]       
Sri Lanka S21700000   2105000    9.7        0.1        [264]      
Sudan Sudan40825770   39585777   97         1.9        [265]      
Suriname Su600000     83400      13.9       < 0.1      .[266]     
Eswatini Sw1159250    129230     10         < 0.1      [267]      
Sweden Swed10182291   800000     8.1        < 0.1      [31][62]   
Switzerland8492956    440000     5.2        < 0.1      [268]      
Syria Syria18000000   16700000   93         1          [269]      
Taiwan Taiw23576705   60000      0.3        < 0.1      [270][271] 
Tajikistan 8931000    7621700    96.7       0.4        [272][273][
Tanzania Ta54199163   19426814   35.2       0.8        [275]      
Thailand Th70000000   3000000    4.3        0.2        [276]}}    
East Timor 1261407    1000       0.1        < 0.1      
Togo Togo  7352000    1593011    20         0.1        [277]      
Tokelau Tok1499       < 1,000    < 0.1      < 0.1      
