"N","CN","CONTINENT","COUNTRY","2017","S","2019","S","","","","",""
"179","46","EUROPE","Switzerland ","LEGAL","2","LEGAL","2","","","","",""
"180","47","EUROPE","Turkey ","LEGAL","2","LEGAL","2","","","","",""
"181","48","EUROPE","Ukraine ","LEGAL","2","LEGAL","2","","","","",""
"182","49","EUROPE","United Kingdom","LEGAL","2","LEGAL","2","","","","",""
"183","50","EUROPE","Vatican City","","2","","2","","","","",""
"184","1","OCEANIA","Australia","LEGAL","2","LEGAL","2","","","","",""
"185","2","OCEANIA","Cook Islands","","0","","0","","","","",""
"186","3","OCEANIA","Fiji ","LEGAL","2","LEGAL","2","","","","",""
"187","4","OCEANIA","Kiribati","ILLEGAL","0","ILLEGAL","0","","","","",""
"188","5","OCEANIA","Marshall Islands","LEGAL","2","LEGAL","2","","","","",""
"189","6","OCEANIA","Micronesia","LEGAL","2","LEGAL","2","","","","",""
"190","7","OCEANIA","New Zealand ","LEGAL","2","LEGAL","2","","","","",""
"191","8","OCEANIA","Nauru","LEGAL","2","LEGAL","2","","","","",""
"192","9","OCEANIA","Palau ","LEGAL","2","LEGAL","2","","","","",""
"193","10","OCEANIA","Papua New Guinea","ILLEGAL","0","ILLEGAL","0","","","","",""
"194","11","OCEANIA","Samoa","ILLEGAL","0","ILLEGAL","0","","","","",""
"195","12","OCEANIA","Solomon Islands","ILLEGAL","0","ILLEGAL","0","","","","",""
"196","13","OCEANIA","Tonga","ILLEGAL","0","ILLEGAL","0","","","","",""
"197","14","OCEANIA","Tuvalu","ILLEGAL","0","ILLEGAL","0","","","","",""
"198","15","OCEANIA","Vanuatu","LEGAL","2","LEGAL","2","","","","",""
"","","","","","","","","","","","",""
"","World","","","2017","","2019","","","","","",""
"","198","States","","LEGAL","121","LEGAL","123","64%","of UN Member States","","",""
"","193","UN Member States","","ILLEGAL","71","ILLEGAL","68","35%","of UN Member States","","",""
"","5","Non-UN Member States","","DE FACTO ILLEGAL","1","DE FACTO ILLEGAL","2","1%","of UN Member States","","",""
"","","","","","","","","","","","",""
"","AFRICA","","","2017","","2019","","","","","",""
"","54","UN Member States","","LEGAL","21","LEGAL","21","","Angola (from Illegal)","","",""
"","0","Non-UN Member States","","ILLEGAL","32","ILLEGAL","32","","Chad (from legal)","","",""
"","","","","DE FACTO ILLEGAL","1","DE FACTO ILLEGAL","1","","","","",""
"","","","","","","","","","","","",""
"","LATIN AMERICA & THE CARIBBEAN","","","2017","","2019","","","","","",""
"","33","UN Member States","","LEGAL","23","LEGAL","24","","T&T (from Illegal)","","",""
"","0","Non-UN Member States","","ILLEGAL","10","ILLEGAL","9","","","","",""
"","","","","DE FACTO ILLEGAL","0","DE FACTO ILLEGAL","0","","","","",""
"","","","","","","","","","","","",""
"","NORTH AMERICA","","","2017","","2019","","","","","",""
"","2","UN Member States","","LEGAL","2","LEGAL","2","","","","",""
"","0","Non-UN Member States","","ILLEGAL","0","ILLEGAL","0","","","","",""
"","","","","DE FACTO ILLEGAL","0","DE FACTO ILLEGAL","0","","","","",""
"","","","","","","","","","","","",""
"","ASIA","","","2017","","2019","","","","","",""
"","42","UN Member States","","LEGAL","19","LEGAL","20","","India (from Illegal)","","",""
"","2","Non-UN Member States","","ILLEGAL","23","ILLEGAL","21","","","","",""
"","","","","DE FACTO ILLEGAL","0","DE FACTO ILLEGAL","1","","Iraq (from Illegal)","","",""
"","","","","","","","","","","","",""
"","EUROPE","","","2017","","2019","","","","","",""
"","48","UN Member States","","LEGAL","48","LEGAL","48","","","","",""
"","2","Non-UN Member States","","ILLEGAL","0","ILLEGAL","0","","","","",""
"","","","","DE FACTO ILLEGAL","0","DE FACTO ILLEGAL","0","","","","",""
"","","","","","","","","","","","",""
"","OCEANIA","","","2017","","2019","","","","","",""
"","14","UN Member States","","LEGAL","8","LEGAL","8","","","","",""
